,Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2294,24/06/2012,6.35,6.45,6.35,6.4,599.1729499,3831.397118,6.394476117
2295,23/06/2012,6.6,6.61,6.33,6.45,1137.141328,7329.271986,6.44534835
2296,22/06/2012,6.64,6.67,6.48,6.59,963.1607986,6367.152991,6.610685361
2297,21/06/2012,6.66,6.69,6.64,6.64,480.8420191,3201.478837,6.658067951
2298,20/06/2012,6.4,6.65,6.26,6.64,2075.984567,13567.25689,6.5353361
2299,19/06/2012,6.13,6.49,6.13,6.46,1389.048837,8907.1497,6.412409314
2300,18/06/2012,6.13,6.34,5.98,6.06,2483.098653,15257.80749,6.144664238
2301,17/06/2012,6.41,6.47,6.13,6.19,424.1904574,2679.990784,6.317895033
2302,16/06/2012,6.41,6.52,6.12,6.41,1010.139375,6427.823978,6.363304049
2303,15/06/2012,5.88,6.42,5.56,6.42,2041.447287,11963.30827,5.860209244
2304,14/06/2012,5.86,5.91,5.79,5.9,3236.508726,18903.8966,5.840829795
2305,13/06/2012,5.77,6,5.71,5.86,1690.197407,9900.866631,5.857816719
2306,12/06/2012,5.57,5.9,5.53,5.71,9330.407964,54760.49477,5.869035415
2307,11/06/2012,5.48,5.57,5.4,5.52,667.6721661,3645.374,5.459826222
2308,10/06/2012,5.54,5.54,5.42,5.42,270.9511764,1480.567258,5.464332274
2309,09/06/2012,5.6,5.62,5.47,5.48,353.6560343,1971.261326,5.573950772
2310,08/06/2012,5.48,5.63,5.46,5.61,1397.449021,7776.038687,5.56445249
2311,07/06/2012,5.41,5.53,5.4,5.53,1412.875207,7732.319295,5.472754606
2312,06/06/2012,5.39,5.49,5.37,5.41,770.8463097,4190.974831,5.436848796
2313,05/06/2012,5.22,5.49,5.22,5.37,929.1949514,4983.290899,5.363019775
2314,04/06/2012,5.18,5.24,5.14,5.22,1359.118309,7046.503508,5.184613775
2315,03/06/2012,5.19,5.2,5.19,5.19,14.33475413,74.44049532,5.193008171
2316,02/06/2012,5.2,5.21,5.17,5.19,192.4347846,999.6138771,5.19455918
2317,01/06/2012,5.17,5.24,5.16,5.22,473.6644106,2467.554625,5.209499742
2318,31/05/2012,5.14,5.17,5.1,5.17,1102.639914,5655.316803,5.128888162
2319,30/05/2012,5.07,5.14,5.07,5.14,748.4016813,3831.895882,5.120105923
2320,29/05/2012,5.07,5.12,4.95,5.11,1341.514304,6801.76803,5.070216552
2321,28/05/2012,5.08,5.08,5.07,5.07,180.6838332,917.6896741,5.078980549
2322,27/05/2012,5.08,5.08,5,5.07,913.5296725,4616.795081,5.053798711
2323,26/05/2012,5.08,5.09,5.06,5.07,388.706217,1977.883419,5.088376086
2324,25/05/2012,5.09,5.1,5.08,5.08,274.9102625,1398.604582,5.087494986
2325,24/05/2012,5.08,5.12,5.04,5.12,904.7400956,4607.125057,5.092208336
2326,23/05/2012,5.02,5.1,5.02,5.1,558.1513127,2826.52784,5.064088852
2327,22/05/2012,5.05,5.07,5,5.03,678.0675855,3425.089848,5.051251411
2328,21/05/2012,5.04,5.09,5.01,5.08,354.0573956,1791.340373,5.059463227
2329,20/05/2012,5.03,5.08,5.03,5.03,26.40212653,133.9641948,5.073992605
2330,19/05/2012,5.08,5.08,5.05,5.07,168.0059752,851.5644532,5.068655756
2331,18/05/2012,5.03,5.07,5.03,5.07,912.5242698,4607.764033,5.049470119
2332,17/05/2012,5.02,5.03,5.01,5.02,611.2128322,3071.505429,5.025263325
2333,16/05/2012,5,5.04,4.98,5.04,178.0332215,892.0987537,5.010855537
2334,15/05/2012,4.95,5.01,4.9,4.95,600.9959638,2983.31625,4.963953886
2335,14/05/2012,4.93,4.99,4.88,4.93,718.7291177,3540.861297,4.926558852
2336,13/05/2012,4.95,4.95,4.94,4.94,395.4629657,1954.293935,4.941787485
2337,12/05/2012,4.95,4.97,4.91,4.91,219.3338912,1080.629741,4.926870786
2338,11/05/2012,4.97,4.97,4.87,4.95,413.8266568,2038.796519,4.926692095
2339,10/05/2012,5.02,5.04,4.87,4.87,907.1142934,4527.144354,4.990709977
2340,09/05/2012,5.02,5.08,5.01,5.02,350.2815947,1764.912364,5.038552956
2341,08/05/2012,5.06,5.08,4.99,5.02,640.5586873,3232.384299,5.046195397
2342,07/05/2012,5.05,5.08,4.97,5.05,874.4786446,4402.523566,5.034455207
2343,06/05/2012,5.06,5.1,5.02,5.08,1234.046056,6235.201056,5.052648585
2344,05/05/2012,5.09,5.11,5.04,5.04,415.5690464,2105.183516,5.06578518
2345,04/05/2012,5.1,5.15,5.07,5.07,776.0427635,3969.426006,5.114957826
2346,03/05/2012,5.06,5.13,5.05,5.1,645.0894016,3293.743588,5.105871496
2347,02/05/2012,5.01,5.15,5.01,5.06,495.3171434,2513.615906,5.074760564
2348,01/05/2012,4.94,5.04,4.86,4.97,831.7462259,4137.304693,4.974239214
2349,30/04/2012,4.92,5.02,4.87,5,490.5807776,2426.541163,4.946262214
2350,29/04/2012,4.92,4.96,4.81,4.91,62.87862749,306.8608903,4.88020974
2351,28/04/2012,5.07,5.07,4.85,4.91,205.0255269,1016.890497,4.959823845
2352,27/04/2012,5.03,5.08,4.99,5.04,718.0140109,3598.053611,5.011118942
2353,26/04/2012,5.1,5.12,4.86,4.98,762.130218,3827.406379,5.021984812
2354,25/04/2012,5.12,5.14,4.86,5.14,1634.213977,8194.995075,5.014640183
2355,24/04/2012,4.99,5.15,4.98,5.08,1975.831106,10045.4986,5.08418891
2356,23/04/2012,5.2,5.25,5,5,947.4609744,4873.922448,5.144193354
2357,22/04/2012,5.24,5.25,5.17,5.17,139.5686426,727.2909392,5.21099099
2358,21/04/2012,5.4,5.43,5.19,5.24,301.9435652,1587.327892,5.257035004
2359,20/04/2012,5.15,5.38,5.09,5.38,372.8358899,1927.011554,5.16852483
2360,19/04/2012,5.17,5.18,5.06,5.13,562.6517096,2877.433224,5.114057551
2361,18/04/2012,4.98,5.18,4.98,5.16,839.9317501,4285.059461,5.101675774
2362,17/04/2012,4.99,4.99,4.95,4.98,282.5153872,1407.381782,4.981611076
2363,16/04/2012,4.93,4.98,4.93,4.98,487.0075487,2414.163003,4.957136721
2364,15/04/2012,4.96,4.99,4.92,4.99,114.9740863,569.9129897,4.956882095
2365,14/04/2012,4.94,5.01,4.94,4.96,544.649989,2707.809985,4.971651592
2366,13/04/2012,4.88,4.95,4.81,4.93,1102.265895,5395.335241,4.894767466
2367,12/04/2012,4.87,4.93,4.73,4.93,756.7945518,3667.964223,4.846710661
2368,11/04/2012,4.86,4.92,4.78,4.92,425.6046318,2073.104698,4.870963667
2369,10/04/2012,4.75,4.87,4.75,4.8,314.8176374,1515.548786,4.814052982
2370,09/04/2012,4.7,4.85,4.7,4.75,158.5583246,756.915174,4.773733426
2371,08/04/2012,4.8,4.8,4.69,4.76,177.2179587,842.0171401,4.751308199
2372,07/04/2012,4.94,4.94,4.7,4.7,228.6556296,1095.625082,4.791594609
2373,06/04/2012,4.9,4.99,4.81,4.99,725.9577176,3543.848235,4.881617964
2374,05/04/2012,4.99,5.04,4.89,5,400.8648852,1990.303582,4.965023517
2375,04/04/2012,4.92,5.01,4.86,5.01,305.4356409,1501.275422,4.915193975
2376,03/04/2012,5.04,5.04,4.86,4.99,244.3029013,1214.36568,4.970737857
2377,02/04/2012,4.8,5.04,4.78,5.04,888.5786116,4377.181292,4.92604845
2378,01/04/2012,4.89,4.89,4.77,4.89,308.5058652,1478.707344,4.793125549
2379,31/03/2012,4.9,4.92,4.89,4.9,158.3737832,777.6421059,4.910169411
2380,30/03/2012,4.81,4.91,4.76,4.88,161.3987942,783.9512483,4.857231134
2381,29/03/2012,4.93,4.93,4.77,4.84,110.3937031,534.7969847,4.844451899
2382,28/03/2012,4.75,4.95,4.72,4.93,418.6489635,2032.738212,4.855471741
2383,27/03/2012,4.54,4.97,4.54,4.84,369.5907962,1769.358354,4.787344198
2384,26/03/2012,4.6,4.75,4.54,4.73,64.76455997,295.6988308,4.565750635
2385,25/03/2012,4.61,4.84,4.54,4.54,15.47357192,70.90299999,4.582199918
2386,24/03/2012,4.72,4.83,4.62,4.83,191.5385093,920.2289076,4.804406753
2387,23/03/2012,4.73,4.89,4.6,4.78,393.1301848,1819.832912,4.62908467
2388,22/03/2012,4.86,4.98,4.72,4.91,396.4109947,1931.333801,4.872049026
2389,21/03/2012,4.9,4.96,4.9,4.96,9.32862903,46.03499999,4.934808731
2390,20/03/2012,4.82,4.97,4.79,4.79,279.7559171,1368.214023,4.890742035
2391,19/03/2012,5.24,5.37,4.83,4.83,415.1937568,2107.018595,5.074783906
2392,18/03/2012,5.41,5.42,5.24,5.25,412.6635212,2202.225985,5.336614146
2393,17/03/2012,5.38,5.42,5.38,5.42,143.8733286,775.720726,5.391692355
2394,16/03/2012,5.3,5.41,5.26,5.26,157.6979443,844.791342,5.357021906
2395,15/03/2012,5.27,5.43,5.27,5.39,633.1678495,3394.01819,5.360376705
2396,14/03/2012,5.32,5.44,5.27,5.27,1129.743277,6047.71509,5.353176438
2397,13/03/2012,4.99,5.32,4.96,5.3,734.6539431,3715.632845,5.057664061
2398,12/03/2012,4.85,4.99,4.85,4.99,108.76168,538.9385134,4.955224244
2399,11/03/2012,4.94,5,4.84,5,24.68252609,120.9774263,4.901338941
2400,10/03/2012,4.91,4.99,4.85,4.94,114.0489283,553.9857851,4.857439641
2401,09/03/2012,5.01,5.07,4.93,4.93,277.5894793,1395.699012,5.027924743
2402,08/03/2012,4.94,5.08,4.87,5.01,326.5657549,1620.127647,4.961106982
2403,07/03/2012,5.05,5.09,4.93,4.93,373.492345,1894.89873,5.07346069
2404,06/03/2012,5,5.05,4.95,4.98,296.6279424,1481.534958,4.994590011
2405,05/03/2012,4.8,5.06,4.77,5.06,518.0545515,2569.922403,4.960717738
2406,04/03/2012,4.78,4.81,4.77,4.81,113.6084153,544.8639265,4.795982103
2407,03/03/2012,4.81,4.99,4.6,4.65,125.9183151,589.8544518,4.684421413
2408,02/03/2012,4.99,4.99,4.64,4.79,245.9747117,1166.586253,4.742708081
2409,01/03/2012,4.99,5.05,4.9,5,291.1635812,1455.037215,4.99731872
2410,29/02/2012,4.97,5,4.85,4.99,242.2378464,1197.869876,4.945015382
2411,28/02/2012,5.09,5.1,4.71,4.88,440.2413871,2211.574505,5.02354974
2412,27/02/2012,4.97,5.1,4.95,5.04,309.0523141,1563.056078,5.057577655
2413,26/02/2012,4.79,5.07,4.78,4.98,40.9,201.4,4.924205379
2414,25/02/2012,5.11,5.11,5,5,119.8074015,600.5299999,5.012461604
2415,24/02/2012,5.12,5.22,4.95,4.95,37.59711782,193.547453,5.147933252
2416,23/02/2012,4.59,5.22,4.55,5.22,714.8440093,3516.151067,4.918766921
2417,22/02/2012,4.47,4.59,4.46,4.51,75.30876636,341.3570384,4.532766303
2418,21/02/2012,4.52,4.58,4.3,4.58,358.4492015,1595.156713,4.450161155
2419,20/02/2012,4.72,4.72,4.4,4.44,315.9392536,1439.906722,4.557542961
2420,19/02/2012,4.38,4.38,4.3,4.38,92.68354434,401.2110824,4.328827575
2421,18/02/2012,4.67,4.73,4.14,4.23,254.390252,1121.281464,4.407721816
2422,17/02/2012,4.67,4.8,4.5,4.67,244.6702892,1151.243869,4.705286748
2423,16/02/2012,4.5,4.98,4.15,4.51,115.6239213,535.147307,4.628344213
2424,15/02/2012,4.9,5.08,4.69,4.69,67.78916535,335.7068896,4.95222043
2425,14/02/2012,5.2,5.8,4.56,4.89,128.3449343,662.5272481,5.162083348
2426,13/02/2012,5.53,5.79,5.5,5.79,99.78443902,571.3115082,5.725456933
2427,12/02/2012,5.78,5.78,5.55,5.67,64.8434324,371.2918617,5.725974828
2428,11/02/2012,5.71,5.71,5.5,5.5,1.8794878,10.37487534,5.520054633
2429,10/02/2012,5.88,5.88,5.8,5.88,176.9305038,1040.23518,5.879343348
2430,09/02/2012,5.52,5.89,5.51,5.89,83.60318875,482.9098295,5.776213046
2431,08/02/2012,5.79,5.87,5.66,5.87,83.57202011,477.3320303,5.711624891
2432,07/02/2012,5.5,5.88,5.5,5.69,165.405419,937.1347068,5.665683221
2433,06/02/2012,5.6,5.9,5.2,5.6,29.17833833,161.8486793,5.546877875
2434,05/02/2012,5.93,6.15,5.6,5.6,47.85042396,280.3662944,5.859222787
2435,04/02/2012,6.35,6.5,5.94,5.94,67.63499409,407.870047,6.030458825
2436,03/02/2012,6.29,6.35,5.93,6.3,155.5524532,950.7496675,6.112084046
2437,02/02/2012,5.99,6.28,5.89,6.28,251.00093,1541.851904,6.142813509
2438,01/02/2012,5.53,5.99,5.52,5.88,12.05880628,71.20269996,5.904622589
2439,31/01/2012,5.7,6.22,3.8,5.3,110.5033333,639.0785312,5.783341659
2440,30/01/2012,5.3,5.58,5.3,5.58,15.16,83.9208,5.535672823
2441,29/01/2012,5.89,5.9,5.3,5.5,9.45484643,52.2104692,5.522085376
2442,28/01/2012,4.91,4.91,4.91,4.91,0.25,1.2275,4.91
2443,27/01/2012,3.8,6.03,3.8,5.88,92.07999287,528.4378821,5.73890012
2444,26/01/2012,6.27,6.3,5.5,5.5,29.91907058,183.9220267,6.147317517
2445,25/01/2012,6.26,6.86,6,6.31,81.1232564,505.991269,6.237314568
2446,24/01/2012,6.52,6.57,6,6.55,85.44624147,550.6356605,6.444235008
2447,23/01/2012,6.5,6.52,6,6.52,94.92062909,608.4838475,6.410448954
2448,22/01/2012,6.79,6.83,6.03,6.79,81.27103303,501.4066072,6.16956114
2449,21/01/2012,6.3,6.77,6.28,6.77,81.41385241,512.2625731,6.292081236
2450,20/01/2012,6.9,6.95,6.55,6.95,95.82599863,647.2017392,6.753926371
2451,19/01/2012,5.52,7,5.52,6.22,246.715819,1542.221227,6.251002604
2452,18/01/2012,5.99,7.1,5.99,7.1,133.4467691,820.9326021,6.151760792
2453,17/01/2012,6.5,6.9,6,6,80.51400824,493.4057886,6.128198053
2454,16/01/2012,6.2,7.1,6.2,7.1,12.64929577,86.74999997,6.8580893
2455,15/01/2012,7.15,7.15,7.15,7.15,16.6993007,119.4,7.15
2456,14/01/2012,6.5,6.5,6.3,6.3,16.836,108.4868,6.443739606
2457,13/01/2012,6.8,7.36,6.6,6.6,48.97014484,344.9373546,7.043829578
2458,12/01/2012,6.95,7.38,6.51,6.51,82.30163181,598.061631,7.266704413
2459,11/01/2012,7.14,7.33,6.25,7,105.358934,743.0116152,7.052193742
2460,10/01/2012,6.24,7.14,6.24,7.14,62.28998018,413.2040844,6.633556203
2461,09/01/2012,6.99,6.99,6.23,6.3,66.8693229,443.0447197,6.625530221
2462,08/01/2012,6.9,7,6.9,7,5,34.6,6.92
